cellline	time	miRNA	M	sd M	p M
C7H2	12	hsa-miR-16	0.181669666666667	0.160177370493966	0.188427774887648
C7H2	12	hsa-miR-548d	-0.0628463333333341	0.874812202577662	0.912353175912643
C7H2	24	hsa-miR-181a	0.664370000000002	0.412441298412272	0.108041519072766
C7H2	12	hsa-miR-181a	0.544571666666665	0.165051778660515	0.0292820013477613
C7H2	24	hsa-let-7b	0.790726888888892	0.689063706777888	0.185202133276116
C7H2	24	hsa-miR-19b	0.326570666666666	0.738260028001953	0.523647883425558
C7H2	 2	hsa-miR-15b	-0.105994666666666	0.370846782980219	0.669604114482382
C7H2	 6	hsa-miR-15b	0.0384663333333322	0.188188408846327	0.757152229086238
C7H2	12	hsa-miR-15b	0.220579222222221	0.153878188921677	0.131071695725869
C7H2	24	hsa-miR-15b	1.45553544444445	0.0273214129501481	0.000117425652966293
C7H2	 2	hsa-miR-16	-0.0455526666666657	0.106889497471818	0.537290830138626
C7H2	 6	hsa-miR-16	0.103159444444444	0.0171374576402215	0.00907424927183772
C7H2	24	hsa-miR-16	0.902797666666667	0.14652130621555	0.00866613113055168
C7H2	24	hsa-miR-19a	0.0428674444444444	0.0380954272618023	0.190621908350619
C7H2	 2	hsa-miR-223	-0.087526111111109	0.351171534729164	0.708043669916933
C7H2	 6	hsa-miR-223	0.122975333333334	0.135024749615685	0.255410996191792
C7H2	12	hsa-miR-223	0.485708444444443	0.209800451054047	0.0569334227053032
C7H2	24	hsa-miR-223	1.36791811111111	0.174878459856595	0.00540380639694114
C7H2	 2	hsa-miR-320	0	0	NA
C7H2	 6	hsa-miR-320	0	0	NA
C7H2	12	hsa-miR-320	0	0	NA
C7H2	24	hsa-miR-320	0	0	NA
C7H2	24	hsa-miR-548d	1.12763122222222	0.203192404490132	0.0106506903430426
C7H2	24	hsa-miR-92	0.0473375555555566	0.0361239109506475	0.151269842211342
