pre_mirna_fk	tx_id	tx_biotype	in_intron	in_exon	is_outside	exon_id	gene_id
1	ENST00000438504	unprocessed_pseudogene	5	0	0		ENSG00000227232
1	ENST00000541675	unprocessed_pseudogene	5	0	0		ENSG00000227232
1	ENST00000423562	unprocessed_pseudogene	4	0	0		ENSG00000227232
1	ENST00000488147	unprocessed_pseudogene	5	0	0		ENSG00000227232
1	ENST00000538476	unprocessed_pseudogene	5	0	0		ENSG00000227232
2	ENST00000473358	lincRNA	1	0	0		ENSG00000243485
2	ENST00000469289	lincRNA	0	1	0	ENSE00001841699	ENSG00000243485
2	ENST00000607096	miRNA	0	1	0	ENSE00003695741	ENSG00000243485
3	ENST00000440200	lincRNA	1	0	0		ENSG00000230021
4	ENST00000384997	miRNA	0	1	0	ENSE00001500004	ENSG00000207730
5	ENST00000384875	miRNA	0	1	0	ENSE00001499882	ENSG00000207607
6	ENST00000362106	miRNA	0	1	0	ENSE00001436869	ENSG00000198976
7	ENST00000354700	protein_coding	16	0	0		ENSG00000131584
7	ENST00000353662	protein_coding	16	0	0		ENSG00000131584
7	ENST00000492936	retained_intron	15	0	0		ENSG00000131584
7	ENST00000467278	retained_intron	6	0	0		ENSG00000131584
8	ENST00000470030	retained_intron	6	0	0		ENSG00000127054
8	ENST00000435064	protein_coding	13	0	0		ENSG00000127054
8	ENST00000497304	retained_intron	0	1	0	ENSE00001849883	ENSG00000127054
8	ENST00000323275	retained_intron	12	0	0		ENSG00000127054
8	ENST00000411962	protein_coding	11	0	0		ENSG00000127054
8	ENST00000462432	processed_transcript	10	0	0		ENSG00000127054
8	ENST00000478641	retained_intron	3	0	0		ENSG00000127054
8	ENST00000421495	protein_coding	10	0	0		ENSG00000127054
8	ENST00000458452	nonsense_mediated_decay	15	0	0		ENSG00000127054
8	ENST00000419704	protein_coding	11	0	0		ENSG00000127054
8	ENST00000540437	protein_coding	15	0	0		ENSG00000127054
8	ENST00000532772	nonsense_mediated_decay	9	0	0		ENSG00000127054
8	ENST00000450926	protein_coding	13	0	0		ENSG00000127054
8	ENST00000527098	nonsense_mediated_decay	14	0	0		ENSG00000127054
8	ENST00000545578	protein_coding	14	0	0		ENSG00000127054
8	ENST00000485710	retained_intron	5	0	0		ENSG00000127054
8	ENST00000461514	retained_intron	0	4	0	ENSE00001942828	ENSG00000127054
8	ENST00000525164	retained_intron	3	0	0		ENSG00000127054
8	ENST00000528879	nonsense_mediated_decay	12	0	0		ENSG00000127054
8	ENST00000525769	retained_intron	4	0	0		ENSG00000127054
9	ENST00000378891	protein_coding	9	0	0		ENSG00000107404
9	ENST00000378888	protein_coding	9	0	0		ENSG00000107404
10	ENST00000511072	protein_coding	1	0	0		ENSG00000142611
10	ENST00000378398	protein_coding	1	0	0		ENSG00000142611
10	ENST00000441472	protein_coding	1	0	0		ENSG00000142611
10	ENST00000442529	protein_coding	1	0	0		ENSG00000142611
10	ENST00000607632	retained_intron	1	0	0		ENSG00000142611
10	ENST00000378391	protein_coding	1	0	0		ENSG00000142611
10	ENST00000514189	protein_coding	1	0	0		ENSG00000142611
10	ENST00000270722	protein_coding	1	0	0		ENSG00000142611
11	ENST00000356575	protein_coding	4	0	0		ENSG00000162591
11	ENST00000485002	nonsense_mediated_decay	3	0	0		ENSG00000162591
11	ENST00000385042	miRNA	0	1	0	ENSE00001500049	ENSG00000207776
12	ENST00000579887	miRNA	0	1	0	ENSE00002721598	ENSG00000264341
13	ENST00000582517	miRNA	0	1	0	ENSE00002689481	ENSG00000264101
14	ENST00000585139	miRNA	0	1	0	ENSE00002701441	ENSG00000265392
15	ENST00000234590	protein_coding	6	0	0		ENSG00000074800
15	ENST00000464920	retained_intron	3	0	0		ENSG00000074800
15	ENST00000497492	protein_coding	6	0	0		ENSG00000074800
16	ENST00000385130	miRNA	0	1	0	ENSE00001500136	ENSG00000207865
17	ENST00000403197	protein_coding	1	0	0		ENSG00000173614
17	ENST00000377205	protein_coding	1	0	0		ENSG00000173614
17	ENST00000462686	nonsense_mediated_decay	1	0	0		ENSG00000173614
17	ENST00000492735	processed_transcript	1	0	0		ENSG00000173614
17	ENST00000578045	miRNA	0	1	0	ENSE00002688669	ENSG00000265521
18	ENST00000377093	protein_coding	1	0	0		ENSG00000054523
18	ENST00000263934	protein_coding	1	0	0		ENSG00000054523
18	ENST00000377086	protein_coding	1	0	0		ENSG00000054523
